method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
sparse_nvfp4,0,down_proj,16,0.0282292556557532,0.00015515607375959917,1073741824
sparse_nvfp4,0,gate_up_proj,16,0.07279249695595322,0.004314171069641556,7516192768
sparse_nvfp4,0,o_proj,16,0.08941171095619967,5.02729071349961e-05,1073741824
sparse_nvfp4,0,qkv_proj,16,0.008331230498672204,0.016163722522245887,1610612736
sparse_nvfp4,1,down_proj,16,0.14256440933206976,0.0005528135998247308,1073741824
sparse_nvfp4,1,gate_up_proj,16,0.059736073238290346,0.009130519284683811,7516192768
sparse_nvfp4,1,o_proj,16,0.14289343153986947,0.0002955678015723606,1073741824
sparse_nvfp4,1,qkv_proj,16,0.019664867238244677,0.0351717857914385,1610612736
sparse_nvfp4,2,down_proj,16,0.14790576861370502,0.0012696961875917623,1073741824
sparse_nvfp4,2,gate_up_proj,16,0.08100232006493353,0.01583037681328798,7516192768
sparse_nvfp4,2,o_proj,16,0.13734744665087334,0.00026472812714928295,1073741824
sparse_nvfp4,2,qkv_proj,16,0.021311602127641372,0.03852833728524274,1610612736
sparse_nvfp4,3,down_proj,16,0.031568478066162343,0.004557985667815956,1073741824
sparse_nvfp4,3,gate_up_proj,16,0.0635956636647597,0.028921080574426532,7516192768
sparse_nvfp4,3,o_proj,16,0.06833523390314974,0.0013146083691708554,1073741824
sparse_nvfp4,3,qkv_proj,16,0.0216528556884065,0.04253682479126534,1610612736
