method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
sparse_bf16,0,down_proj,16,0.0733949425921163,8.392817397293584e-05,41943040
sparse_bf16,0,gate_up_proj,16,0.03867179263925812,0.002293635254630187,293601280
sparse_bf16,0,o_proj,16,0.04349739875941531,2.5129545068836023e-05,41943040
sparse_bf16,0,qkv_proj,16,0.003967840201689879,0.007998659198121535,62914560
sparse_bf16,1,down_proj,16,0.07664757022210894,0.00030441134113061706,41943040
sparse_bf16,1,gate_up_proj,16,0.03064240042350788,0.004739804911826338,293601280
sparse_bf16,1,o_proj,16,0.07249066560622615,0.00015877668542998435,41943040
sparse_bf16,1,qkv_proj,16,0.00900291976945878,0.017433780781963528,62914560
sparse_bf16,2,down_proj,16,0.0842585784586562,0.0007303279202460544,41943040
sparse_bf16,2,gate_up_proj,16,0.04396436260573648,0.00869164783341278,293601280
sparse_bf16,2,o_proj,16,0.07348477101964866,0.0001481359277931915,41943040
sparse_bf16,2,qkv_proj,16,0.010446428548765298,0.020235147485315488,62914560
sparse_bf16,3,down_proj,16,0.017026057491188386,0.0023308842053666014,41943040
sparse_bf16,3,gate_up_proj,16,0.034027192602303,0.01563643394204389,293601280
sparse_bf16,3,o_proj,16,0.03465299692910719,0.0006989500177041919,41943040
sparse_bf16,3,qkv_proj,16,0.010604958342227638,0.022016144793209,62914560
