method,layer,region,calls,total_ms,avg_ms,first_ms,max_ms,model_prefill_ms,model_decode_x_n_ms,model_e2e_ms,convert_ms
sparse_bf16,language_model.layers.0.linear_attn.in_proj_qkv,decode,32,49.812448143959045,1.5566390044987202,43.581024169921875,43.581024169921875,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.0.linear_attn.in_proj_qkv,prefill,1,52.9661750793457,52.9661750793457,52.9661750793457,52.9661750793457,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.0.linear_attn.in_proj_z,decode,32,47.415071576833725,1.481720986776054,43.3350715637207,43.3350715637207,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.0.linear_attn.in_proj_z,prefill,1,44.60985565185547,44.60985565185547,44.60985565185547,44.60985565185547,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.0.mlp.down_proj,decode,32,49.671871945261955,1.552245998289436,43.244319915771484,43.244319915771484,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.0.mlp.down_proj,prefill,1,43.11142349243164,43.11142349243164,43.11142349243164,43.11142349243164,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.0.mlp.gate_proj,decode,32,47.46835216879845,1.4833860052749515,43.34675216674805,43.34675216674805,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.0.mlp.gate_proj,prefill,1,43.80668640136719,43.80668640136719,43.80668640136719,43.80668640136719,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.3.self_attn.o_proj,decode,32,4.597248002886772,0.14366400009021163,0.2704960107803345,0.2704960107803345,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.3.self_attn.o_proj,prefill,1,1.2328959703445435,1.2328959703445435,1.2328959703445435,1.2328959703445435,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.3.self_attn.q_proj,decode,32,4.142944037914276,0.12946700118482113,0.1326719969511032,0.13414399325847626,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
sparse_bf16,language_model.layers.3.self_attn.q_proj,prefill,1,2.3889920711517334,2.3889920711517334,2.3889920711517334,2.3889920711517334,3157.68896484375,2085.844654083252,5243.533618927002,15187.04098276794
predictor_hybrid,language_model.layers.0.linear_attn.in_proj_qkv,decode,32,115.9976007565856,3.6249250236433,113.1556167602539,113.1556167602539,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.0.linear_attn.in_proj_qkv,prefill,1,75.23225402832031,75.23225402832031,75.23225402832031,75.23225402832031,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.0.linear_attn.in_proj_z,decode,32,3.5876480229198933,0.11211400071624666,1.8265600204467773,1.8265600204467773,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.0.linear_attn.in_proj_z,prefill,1,3.193023920059204,3.193023920059204,3.193023920059204,3.193023920059204,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.0.mlp.down_proj,decode,32,2.6467199698090553,0.08270999905653298,1.0014079809188843,1.0014079809188843,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.0.mlp.down_proj,prefill,1,5.732351779937744,5.732351779937744,5.732351779937744,5.732351779937744,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.0.mlp.gate_proj,decode,32,3.130304027348757,0.09782200085464865,1.1018240451812744,1.1018240451812744,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.0.mlp.gate_proj,prefill,1,3.3669118881225586,3.3669118881225586,3.3669118881225586,3.3669118881225586,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.3.self_attn.o_proj,decode,32,3.4488959461450577,0.10777799831703305,1.1361279487609863,1.1361279487609863,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.3.self_attn.o_proj,prefill,1,1.9814399480819702,1.9814399480819702,1.9814399480819702,1.9814399480819702,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.3.self_attn.q_proj,decode,32,2.947456009685993,0.09210800030268729,0.9226880073547363,0.9226880073547363,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
predictor_hybrid,language_model.layers.3.self_attn.q_proj,prefill,1,2.4801599979400635,2.4801599979400635,2.4801599979400635,2.4801599979400635,2903.55126953125,1772.1362075805664,4675.687477111816,1181.7992934957147
