model,batch_size,input_tokens,output_tokens,prefill_ms,decode_per_token_ms,prefill_all_linear_pct,decode_all_linear_pct
9b,4,256,512,151.22115631103514,28.08599878225308,N/A,N/A
9b,16,4,128,113.80873489379883,28.290213726073738,16.0,28.3
9b,16,4,256,113.75073318481445,28.273402351678588,N/A,N/A
9b,16,4,512,113.8742691040039,28.24188766703447,N/A,N/A
9b,16,16,128,115.43136901855469,28.51907785821149,20.2,28.7
9b,16,16,256,118.66768951416016,29.312153397354425,N/A,N/A
9b,16,16,512,115.10580062866211,28.327726604513927,N/A,N/A
9b,16,64,128,149.58982543945314,28.151860028364528,39.7,1.3
9b,16,64,256,149.59060974121093,28.173905196844363,N/A,N/A
9b,16,64,512,149.62505035400392,28.159845554478714,N/A,N/A
9b,16,256,128,496.89072265625,28.25047647371067,61.4,29.1
9b,16,256,256,497.13805236816404,28.29799652623195,N/A,N/A
9b,16,256,512,497.2939758300781,28.289177352621596,N/A,N/A
