method,median_ms,mean_ms,speedup_vs_dense_bf16,prompt_tokens_per_s_median,nll,nll_delta_vs_dense,arc_acc_norm,arc_sample_len,speed_scenario,quality_source
dense_bf16,1051.61920376122,1052.1037625148892,1.0,15579.783957349775,2.039499126068533,0.0,0.4513651877133106,1172,prefill_plus_1_decode,018_uniform_full_arc_c
dense_nvfp4,563.6437516659498,561.7991417646408,1.8657515507853524,29068.0060793261,2.1214742753836973,0.08197514931516414,0.4377133105802048,1172,prefill_plus_1_decode,018_uniform_full_arc_c
sparse_bf16,631.7975567653775,631.9598004221916,1.6644876076210378,25932.357326421752,2.389798416316859,0.35029929024832596,0.3378839590443686,1172,prefill_plus_1_decode,018_uniform_full_arc_c
sparse_nvfp4,504.6526584774256,504.65422198176384,2.0838475456248124,32465.89456088816,3.357909790457112,1.318410664388579,0.2286689419795221,1172,prefill_plus_1_decode,018_uniform_full_arc_c
