group,manual_policy,pred_policy,manual_standalone_weighted_ms,pred_candidate_standalone_weighted_ms,manual_in_model_projected_linear_ms,pred_in_model_projected_linear_ms,standalone_pred_minus_manual_ms,in_model_pred_minus_manual_ms,manual_cand_decode_steady_per_module_ms,pred_cand_decode_steady_per_module_ms,manual_in_model_decode_steady_per_group_ms,pred_in_model_decode_steady_per_group_ms,manual_cand_decode_first_per_module_ms,pred_cand_decode_first_per_module_ms,manual_in_model_decode_first_group_ms,pred_in_model_decode_first_group_ms
mlp.down_proj,marlin_nvfp4->marlin_nvfp4,dense_nvfp4->marlin_nvfp4,573.6284043550492,643.1321077346802,389.72360650706094,376.83787738881057,69.50370337963102,-12.885729118250367,0.0455647997558116,0.0538176000118255,0.7334520046133544,0.7482360044959926,0.0590719990432262,1.2394239902496338,1.9983999952673897,21.842656016349792
mlp.gate_proj,marlin_nvfp4->marlin_nvfp4,dense_nvfp4->marlin_nvfp4,578.5292943127453,759.7604934692383,394.3513617438728,296.1486001915763,181.23119915649306,-98.20276155229652,0.0451807998120784,0.0761312007904052,0.7253120022360229,0.7255440049339081,0.0629120022058487,1.510591983795166,0.979232013225555,22.27599984407425
mlp.up_proj,dense_nvfp4->marlin_nvfp4,dense_nvfp4->marlin_nvfp4,511.4766383647919,511.4766383647919,299.4703900897874,294.8349479795432,0.0,-4.635442110244185,0.0477152004837989,0.0477152004837989,0.7242360031232231,0.7143000005744389,1.0060800313949585,1.0060800313949585,24.15363192558289,23.075039982795715
self_attn.o_proj,dense_bf16->dense_bf16,marlin_nvfp4->marlin_nvfp4,475.8333180245012,478.53355553634464,352.9630639278326,199.98546831635716,2.7002375118434543,-152.97759561147544,0.0485215995460748,0.0490271996706724,1.0740879974327966,0.4837160012684745,0.0748160034418106,0.0731199979782104,1.138303987681864,0.5392640018835649
self_attn.q_proj,dense_bf16->dense_bf16,marlin_nvfp4->marlin_nvfp4,474.3635739218444,565.9342372644692,586.5936126108278,505.3992435233664,91.57066334262475,-81.19436908746138,0.0483456004410982,0.0596512001007795,1.9061639984138297,1.6756680039688931,0.0723839998245239,0.0710719972848892,22.74096072465181,2.175007991492747
