label,group,phase,calls,sum_ms,avg_ms,first_ms,steady_avg_ms,module_types
manual,mlp.down_proj,decode,288,7.86601603217423,0.02731255566727163,0.07123199850320816,0.027159526249724814,QwenManualHybridLinear
manual,mlp.down_proj,prefill,32,200.69494533538818,6.271717041730881,6.217472076416016,6.271717041730881,QwenManualHybridLinear
manual,mlp.gate_proj,decode,288,6.781728031113744,0.0235476667747005,0.15427200496196747,0.02309218127579016,QwenManualHybridLinear
manual,mlp.gate_proj,prefill,32,208.41756916046143,6.5130490362644196,6.453760147094727,6.5130490362644196,QwenManualHybridLinear
manual,mlp.up_proj,decode,288,29.947519950568676,0.1039844442728079,1.1208640336990356,0.1004413098148768,QwenHybridDenseNVFP4Linear
manual,mlp.up_proj,prefill,32,90.63657736778259,2.832393042743206,2.8323841094970703,2.832393042743206,QwenHybridDenseNVFP4Linear
manual,self_attn.k_proj,decode,288,16.036640029400587,0.05568277787986315,0.2165440022945404,0.05512228580873187,QwenManualHybridLinear
manual,self_attn.k_proj,prefill,32,76.32175993919373,2.385054998099804,2.368191957473755,2.385054998099804,QwenManualHybridLinear
manual,self_attn.o_proj,decode,288,9.73100796714425,0.03378822210813976,0.12134400010108948,0.03348314971095178,QwenManualHybridLinear
manual,self_attn.o_proj,prefill,32,77.9323205947876,2.4353850185871124,2.4154880046844482,2.4353850185871124,QwenManualHybridLinear
manual,self_attn.q_proj,decode,288,37.99027271196246,0.13191066913875854,20.140960693359375,0.062192724803495074,QwenManualHybridLinear
manual,self_attn.q_proj,prefill,32,77.78083229064941,2.430651009082794,2.4145920276641846,2.430651009082794,QwenManualHybridLinear
manual,self_attn.v_proj,decode,288,15.1611839979887,0.052642999993016325,0.10595200210809708,0.0524572543410474,QwenManualHybridLinear
manual,self_attn.v_proj,prefill,32,76.13471961021423,2.379209987819195,2.3471999168395996,2.379209987819195,QwenManualHybridLinear
