scenario,phase,linear,m,n,k,repeats,best_kernel,single_call_ms,weighted_ms,dense_bf16_single_call_ms,dense_nvfp4_single_call_ms,sparse_bf16_single_call_ms,sparse_nvfp4_single_call_ms,marlin_nvfp4_single_call_ms
b2_in16384_out128,prefill,qkv,32768,12288,4096,1,sparse_nvfp4,6.405188033101481,204.9660170592474,16.19034192308412,7.279230809969526,7.214887617485135,6.405188033101481,16.425022275359552
b2_in16384_out128,prefill,o_proj,32768,4096,4096,1,sparse_bf16,2.4142079497247098,77.25465439119071,5.440891276787584,3.248931980415928,2.4142079497247098,3.054492180898791,5.462277240192552
b2_in16384_out128,prefill,gate_up,32768,22016,4096,1,sparse_nvfp4,8.502595790121017,272.08306528387254,29.15793333692407,10.814359942784336,12.840345826855177,8.502595790121017,30.535257844484484
b2_in16384_out128,prefill,down,32768,4096,11008,1,sparse_bf16,6.54449617500495,209.4238776001584,14.508500337968448,8.76600326542175,6.54449617500495,8.495926835965953,15.0471715399867
b2_in16384_out128,decode,qkv,2,12288,4096,128,marlin_nvfp4,0.03752924435638217,153.71978488374137,0.08724132669875766,0.1474677616823926,,,0.03752924435638217
b2_in16384_out128,decode,o_proj,2,4096,4096,128,dense_bf16,0.033216499999999996,136.05478399999998,0.033216499999999996,0.138027,,,0.0381325
b2_in16384_out128,decode,gate_up,2,22016,4096,128,marlin_nvfp4,0.046805447285667635,191.71511208209463,0.13812990137334138,0.1698995670327597,,,0.046805447285667635
b2_in16384_out128,decode,down,2,4096,11008,128,marlin_nvfp4,0.04028116567342111,164.99165459833287,0.08082293719567189,0.16173789670218114,,,0.04028116567342111
b2_in16384_out64,prefill,qkv,32768,12288,4096,1,sparse_nvfp4,6.405188033101481,204.9660170592474,16.19034192308412,7.279230809969526,7.214887617485135,6.405188033101481,16.425022275359552
b2_in16384_out64,prefill,o_proj,32768,4096,4096,1,sparse_bf16,2.4142079497247098,77.25465439119071,5.440891276787584,3.248931980415928,2.4142079497247098,3.054492180898791,5.462277240192552
b2_in16384_out64,prefill,gate_up,32768,22016,4096,1,sparse_nvfp4,8.502595790121017,272.08306528387254,29.15793333692407,10.814359942784336,12.840345826855177,8.502595790121017,30.535257844484484
b2_in16384_out64,prefill,down,32768,4096,11008,1,sparse_bf16,6.54449617500495,209.4238776001584,14.508500337968448,8.76600326542175,6.54449617500495,8.495926835965953,15.0471715399867
b2_in16384_out64,decode,qkv,2,12288,4096,64,marlin_nvfp4,0.03752924435638217,76.85989244187068,0.08724132669875766,0.1474677616823926,,,0.03752924435638217
b2_in16384_out64,decode,o_proj,2,4096,4096,64,dense_bf16,0.033216499999999996,68.02739199999999,0.033216499999999996,0.138027,,,0.0381325
