variant,configs,pearson,spearman,mae,rmse,predicted_delta_mean,measured_delta_mean
local_only,24,0.03307424712085953,0.1252173913043478,0.04873925442225555,0.053834106340163765,0.23439181576604676,0.18807960097026138
local_depth,24,0.5533850432959514,0.5521739130434783,0.048262376347899635,0.05771096749954148,0.23457538678530912,0.18807960097026138
local_type,24,0.5975962954859205,0.6895652173913044,0.041895849287605216,0.04954234048940607,0.22797006469069045,0.18807960097026138
final_depth_type,24,0.5712511950504985,0.551304347826087,0.04970443421171794,0.06456685695019597,0.2303273956402139,0.18807960097026138
