variant,pairs,pearson,spearman,mae,rmse,direction_accuracy,pred_delta_mean,measured_delta_mean
local_only,12,-0.3627580265764748,-0.4125874125874126,0.1004227112657577,0.11361856967835211,0.5833333333333334,8.662797628307869e-06,0.10043137406338602
local_depth,12,-0.1860894267580335,-0.0979020979020979,0.06490675272311132,0.07683124198027372,1.0,0.1509334361217312,0.10043137406338602
local_type,12,0.10457576380092001,0.16083916083916083,0.04919908826140022,0.05550170860633417,1.0,0.11542976585405691,0.10043137406338602
final_depth_type,12,-0.28460094929955837,-0.20279720279720279,0.11067458300507377,0.12146259003596642,1.0,0.20899335765702393,0.10043137406338602
