variant,pairs,scale,pearson,spearman,mae,rmse,direction_accuracy,pred_delta_mean,measured_delta_mean
local_only,12,-535.1961781712724,0.08240797304199719,-0.12587412587412586,0.03258031351561403,0.04072669825059102,0.5833333333333334,0.0028189744294607392,0.030578230302938825
local_depth,12,0.47313404190470365,0.1196979927342773,-0.06293706293706293,0.020571682497155224,0.028728220468062168,0.9166666666666666,0.030675279940106347,0.030578230302938825
local_type,12,0.527964032416439,0.19066142117661233,0.07692307692307693,0.02129485545161921,0.028362547203349447,0.9166666666666666,0.030714009339841617,0.030578230302938825
final_depth_type,12,0.3060147258742363,-0.03629657197364606,-0.11188811188811189,0.020454427524188645,0.02887987649352029,0.9166666666666666,0.03057587491667745,0.030578230302938825
