timestamp,model,model_variant,method,task,speed_scope,runtime_dtype,device,batch_size,input_c,input_h,input_w,warmup,iters,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,images_per_sec,model_path,cutlass_sparse_bf16_module_count,torch_version,cuda_version,checkpoint_path,compression_method,sparsity,nvfp4_group_size,calib_samples,checkpoint_format,runtime_checkpoint_path,source_checkpoint_path,packed_checkpoint_file_size_bytes,runtime_checkpoint_loader_mode,storage_checkpoint_path,storage_checkpoint_format,storage_checkpoint_file_size_bytes,kernel_backend,sparse_backend,sparse_pattern,sparse_prune_on_convert,token_pad_multiple,replaced_linear_count,skipped_linear_count,nvfp4_scale_rule
2026-05-17T18:58:24,timm/maxvit_small_tf_224.in1k,small,sparse_bf16_cutlass,forward_speed,random_input_forward_only,bfloat16,NVIDIA GeForce RTX 5090,128,3,224,224,1,2,2218.139038,2218.139038,2222.252026,2212.997803,2223.280273,57.706,/data/home/scxj523/run/wja/data/models/timm/maxvit_small_tf_224.in1k,72,2.9.0+cu128,12.8,artifacts/checkpoints/maxvit_small/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,128,cutlass_runtime_packed_v1,artifacts/checkpoints/maxvit_small/cutlass_sparse_bf16_runtime/model.pt,artifacts/checkpoints/maxvit_small/semi_structured_sparse/model.pt,96392587,maxvit_runtime_assign,,,,cutlass_sparse_bf16_cusparselt,cusparselt_bf16,2to4,False,8,72,38,
2026-05-17T19:13:58,timm/maxvit_small_tf_224.in1k,small,sparse_bf16_cutlass,forward_speed,random_input_forward_only,bfloat16,NVIDIA GeForce RTX 5090,128,3,224,224,50,200,2285.931501,2277.026123,2344.059595,2223.569580,2428.492432,55.995,/data/home/scxj523/run/wja/data/models/timm/maxvit_small_tf_224.in1k,72,2.9.0+cu128,12.8,artifacts/checkpoints/maxvit_small/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,128,cutlass_runtime_packed_v1,artifacts/checkpoints/maxvit_small/cutlass_sparse_bf16_runtime/model.pt,artifacts/checkpoints/maxvit_small/semi_structured_sparse/model.pt,96392587,maxvit_runtime_assign,,,,cutlass_sparse_bf16_cusparselt,cusparselt_bf16,2to4,False,8,72,38,
2026-05-18T00:40:32,timm/maxvit_small_tf_224.in1k,small,sparse_bf16_cutlass,forward_speed,random_input_forward_only,bfloat16,NVIDIA GeForce RTX 5090,128,3,224,224,50,200,78.435756,78.431408,78.497787,78.325539,78.603264,1631.909,/data/home/scxj523/run/wja/data/models/timm/maxvit_small_tf_224.in1k,72,2.9.0+cu128,12.8,artifacts/checkpoints/maxvit_small/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,128,cutlass_runtime_packed_v1,artifacts/checkpoints/maxvit_small/cutlass_sparse_bf16_runtime/model.pt,artifacts/checkpoints/maxvit_small/semi_structured_sparse/model.pt,96392587,maxvit_runtime_assign,,,,cutlass_sparse_bf16_cusparselt,cusparselt_bf16,2to4,False,8,72,38,
