m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,dense_flops,effective_work,bytes_activation,bytes_weight,bytes_scale,bytes_output,bytes_total,arithmetic_intensity
16,4096,4096,0.133329,0.133329,0.0,0.133329,0.133329,1,4.026654,0.133329,0.133329,0.0,536870912.0,536870912.0,163840.0,8388608.0,1052672.0,131072.0,9736192.0,55.14177534707615
16,4096,11008,0.162358,0.162358,0.0,0.162358,0.162358,1,8.886798,0.162358,0.162358,0.0,1442840576.0,1442840576.0,440320.0,22544384.0,2829056.0,131072.0,25944832.0,55.61186813620532
16,12288,4096,0.146066,0.146066,0.0,0.146066,0.146066,1,11.026591,0.146066,0.146066,0.0,1610612736.0,1610612736.0,163840.0,25165824.0,3149824.0,393216.0,28872704.0,55.78323166406582
16,22016,4096,0.168281,0.168281,0.0,0.168281,0.168281,1,17.147996,0.168281,0.168281,0.0,2885681152.0,2885681152.0,163840.0,45088768.0,5640192.0,704512.0,51597312.0,55.92696673811225
16384,4096,4096,2.113614,2.113614,0.0,2.113614,2.113614,1,260.102268,2.113614,2.113614,0.0,549755813888.0,549755813888.0,167772160.0,8388608.0,5242880.0,134217728.0,315621376.0,1741.8205980066446
16384,4096,11008,5.315304,5.315304,0.0,5.315304,5.315304,1,277.965036,5.315304,5.315304,0.0,1477468749824.0,1477468749824.0,450887680.0,22544384.0,14090240.0,134217728.0,621740032.0,2376.3448930114896
16384,12288,4096,3.059855,3.059855,0.0,3.059855,3.059855,1,539.001878,3.059855,3.059855,0.0,1649267441664.0,1649267441664.0,167772160.0,25165824.0,7340032.0,402653184.0,602931200.0,2735.4156521739133
16384,22016,4096,4.186143,4.186143,0.0,4.186143,4.186143,1,705.885405,4.186143,4.186143,0.0,2954937499648.0,2954937499648.0,167772160.0,45088768.0,9830400.0,721420288.0,944111616.0,3129.8603359711233
32768,4096,4096,4.184734,4.184734,0.0,4.184734,4.184734,1,262.743486,4.184734,4.184734,0.0,1099511627776.0,1099511627776.0,335544320.0,8388608.0,9437184.0,268435456.0,621805568.0,1768.256323777403
32768,4096,11008,10.500803,10.500803,0.0,10.500803,10.500803,1,281.40111,10.500803,10.500803,0.0,2954937499648.0,2954937499648.0,901775360.0,22544384.0,25362432.0,268435456.0,1218117632.0,2425.8227793619194
32768,12288,4096,6.052896,6.052896,0.0,6.052896,6.052896,1,544.951521,6.052896,6.052896,0.0,3298534883328.0,3298534883328.0,335544320.0,25165824.0,11534336.0,805306368.0,1177550848.0,2801.1825467497774
32768,22016,4096,8.284588,8.284588,0.0,8.284588,8.284588,1,713.357702,8.284588,8.284588,0.0,5909874999296.0,5909874999296.0,335544320.0,45088768.0,14024704.0,1442840576.0,1837498368.0,3216.2613595834223
