batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
16,16,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,40.946355,40.916351,41.077952,40.564800,43.706623,390.755172,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
16,16,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,81.237242,80.982082,82.205565,80.379967,83.822815,196.954002,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
2,2,dense_default_amp,uncompressed,,39.817030,39.680208,39.879029,39.533695,43.485569,50.229764,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
2,2,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,39.209053,39.212929,39.376847,38.636223,40.228512,51.008628,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
2,2,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,39.414930,39.208799,39.647403,38.796478,41.916897,50.742193,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
2,2,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,37.297152,37.066208,37.552618,36.669407,40.839073,53.623398,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
2,2,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,32.425364,32.373199,32.527325,32.188000,34.499008,61.680110,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
2,2,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,25.451900,25.143761,25.634829,24.986849,32.702530,78.579594,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
2,2,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,71.616054,71.324863,71.630746,70.857918,77.022591,27.926699,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
2,2,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,39.026847,39.843519,40.167731,31.942305,42.673985,51.246774,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
