key,policy_index,batch_size_for_policy,point_index,policy_json,label,nll,nll_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_nll,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples,loss_definition
policy_000,0,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_000_dense.json,dense,13.8090735314,0.0000000000,993583.6466761878,716498,9894173.567077,13.8090735314,0,0,{'dense_bf16': 224},[],,4,128,assistant_answer_token_nll
policy_049,49,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_049_random.json,random_mixed,13.7382142906,-0.0708592408,925615.5833362498,716498,9843403.062822,13.8090735314,179,0,"{'dense_bf16': 45, 'dense_nvfp4': 63, 'sparse_bf16': 58, 'sparse_nvfp4': 58}",[],,4,128,assistant_answer_token_nll
policy_033,33,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_033_random.json,random_mixed,13.5178153883,-0.2912581431,742527.6501916411,716498,9685487.690073,13.8090735314,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 64, 'sparse_bf16': 58, 'sparse_nvfp4': 51}",[],,4,128,assistant_answer_token_nll
policy_041,41,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_041_random.json,random_mixed,13.6589945868,-0.1500789446,855117.8603833148,716498,9786642.303468,13.8090735314,164,0,"{'dense_bf16': 60, 'dense_nvfp4': 46, 'sparse_bf16': 68, 'sparse_nvfp4': 50}",[],,4,128,assistant_answer_token_nll
policy_025,25,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_025_random.json,random_mixed,13.9835375303,0.1744639989,1182968.5176029666,716498,10019176.673362,13.8090735314,157,0,"{'dense_bf16': 67, 'dense_nvfp4': 53, 'sparse_bf16': 52, 'sparse_nvfp4': 52}",[],,4,128,assistant_answer_token_nll
policy_057,57,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_057_round_robin_r0.25.json,round_robin_0.25,13.6482091304,-0.1608644010,845944.5819174551,716498,9778914.545538,13.8090735314,57,0,"{'dense_bf16': 167, 'dense_nvfp4': 19, 'sparse_bf16': 19, 'sparse_nvfp4': 19}",[],,4,128,assistant_answer_token_nll
policy_009,9,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_009_sparse_bf16_r0.json,sparse_bf16_ratio_0,13.8090735314,-0.0000000000,993583.6466761878,716498,9894173.567077,13.8090735314,0,0,{'dense_bf16': 224},[],,4,128,assistant_answer_token_nll
policy_001,1,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_001_dense_nvfp4_r0.json,dense_nvfp4_ratio_0,13.8090735314,-0.0000000000,993583.6466761878,716498,9894173.567077,13.8090735314,0,0,{'dense_bf16': 224},[],,4,128,assistant_answer_token_nll
policy_017,17,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_017_sparse_nvfp4_r0.json,sparse_nvfp4_ratio_0,13.8090735314,-0.0000000000,993583.6466761878,716498,9894173.567077,13.8090735314,0,0,{'dense_bf16': 224},[],,4,128,assistant_answer_token_nll
policy_034,34,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_034_random.json,random_mixed,13.6247138179,-0.1843597135,826300.5248525318,716498,9762080.201078,13.8090735314,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 57, 'sparse_bf16': 56, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll
policy_042,42,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_042_random.json,random_mixed,13.9829978295,0.1739242981,1182330.2407948412,716498,10018789.978813,13.8090735314,176,0,"{'dense_bf16': 48, 'dense_nvfp4': 57, 'sparse_bf16': 66, 'sparse_nvfp4': 53}",[],,4,128,assistant_answer_token_nll
policy_050,50,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_050_random.json,random_mixed,13.8600236559,0.0509501245,1045518.6707875752,716498,9930679.229426,13.8090735314,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 59, 'sparse_bf16': 55, 'sparse_nvfp4': 46}",[],,4,128,assistant_answer_token_nll
policy_026,26,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_026_random.json,random_mixed,14.0642145169,0.2551409855,1282362.3450084163,716498,10076981.572958,13.8090735314,162,0,"{'dense_bf16': 62, 'dense_nvfp4': 48, 'sparse_bf16': 55, 'sparse_nvfp4': 59}",[],,4,128,assistant_answer_token_nll
policy_058,58,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_058_round_robin_r0.5.json,round_robin_0.5,13.3652163025,-0.4438572289,637440.5536512049,716498,9576150.750303,13.8090735314,113,0,"{'dense_bf16': 111, 'dense_nvfp4': 38, 'sparse_bf16': 38, 'sparse_nvfp4': 37}",[],,4,128,assistant_answer_token_nll
policy_002,2,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_002_dense_nvfp4_r0.05.json,dense_nvfp4_ratio_0.05,13.7910319278,-0.0180416036,975818.5417857935,716498,9881246.794211,13.8090735314,11,0,"{'dense_bf16': 213, 'dense_nvfp4': 11}",[],,4,128,assistant_answer_token_nll
policy_010,10,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_010_sparse_bf16_r0.05.json,sparse_bf16_ratio_0.05,13.7277781457,-0.0812953857,916005.9558939654,716498,9835925.585840,13.8090735314,11,0,"{'dense_bf16': 213, 'sparse_bf16': 11}",[],,4,128,assistant_answer_token_nll
policy_018,18,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_018_sparse_nvfp4_r0.05.json,sparse_nvfp4_ratio_0.05,13.9770698480,0.1679963166,1175342.1421717668,716498,10014542.591953,13.8090735314,11,0,"{'dense_bf16': 213, 'sparse_nvfp4': 11}",[],,4,128,assistant_answer_token_nll
policy_035,35,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_035_random.json,random_mixed,13.9205582229,0.1114846915,1110763.5535878183,716498,9974052.125605,13.8090735314,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 71, 'sparse_bf16': 50, 'sparse_nvfp4': 52}",[],,4,128,assistant_answer_token_nll
policy_051,51,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_051_random.json,random_mixed,14.0597220812,0.2506485498,1276614.3355894119,716498,10073762.751770,13.8090735314,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 48, 'sparse_bf16': 67, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll
policy_043,43,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_043_random.json,random_mixed,13.2691033274,-0.5399702040,579026.3860981655,716498,9507285.995848,13.8090735314,163,0,"{'dense_bf16': 61, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 50}",[],,4,128,assistant_answer_token_nll
policy_027,27,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_027_random.json,random_mixed,14.0774336056,0.2683600742,1299426.5446791686,716498,10086453.023568,13.8090735314,164,0,"{'dense_bf16': 60, 'dense_nvfp4': 49, 'sparse_bf16': 56, 'sparse_nvfp4': 59}",[],,4,128,assistant_answer_token_nll
policy_059,59,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_059_round_robin_r0.75.json,round_robin_0.75,13.1429151936,-0.6661583378,510382.2295094756,716498,9416872.450395,13.8090735314,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 56, 'sparse_nvfp4': 56}",[],,4,128,assistant_answer_token_nll
policy_003,3,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_003_dense_nvfp4_r0.1.json,dense_nvfp4_ratio_0.1,13.7918671954,-0.0172063360,976633.9518721080,716498,9881845.261761,13.8090735314,22,0,"{'dense_bf16': 202, 'dense_nvfp4': 22}",[],,4,128,assistant_answer_token_nll
policy_036,36,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_036_random.json,random_mixed,13.4630132568,-0.3460602746,702930.4669092449,716498,9646222.072478,13.8090735314,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 54, 'sparse_bf16': 57, 'sparse_nvfp4': 58}",[],,4,128,assistant_answer_token_nll
policy_044,44,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_044_random.json,random_mixed,13.3746536831,-0.4344198483,643484.7988538925,716498,9582912.614659,13.8090735314,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 55, 'sparse_bf16': 59, 'sparse_nvfp4': 57}",[],,4,128,assistant_answer_token_nll
policy_011,11,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_011_sparse_bf16_r0.1.json,sparse_bf16_ratio_0.1,13.6873255910,-0.1217479404,879690.6504118767,716498,9806941.411321,13.8090735314,22,0,"{'dense_bf16': 202, 'sparse_bf16': 22}",[],,4,128,assistant_answer_token_nll
policy_052,52,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_052_random.json,random_mixed,14.1362393686,0.3271658372,1378131.7955556437,716498,10128587.235138,13.8090735314,166,0,"{'dense_bf16': 58, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 53}",[],,4,128,assistant_answer_token_nll
policy_019,19,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_019_sparse_nvfp4_r0.1.json,sparse_nvfp4_ratio_0.1,13.6978522130,-0.1112213184,888999.7319673424,716498,9814483.714908,13.8090735314,22,0,"{'dense_bf16': 202, 'sparse_nvfp4': 22}",[],,4,128,assistant_answer_token_nll
policy_028,28,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_028_random.json,random_mixed,13.8585796420,0.0495061106,1044010.0167495944,716498,9929644.596310,13.8090735314,174,0,"{'dense_bf16': 50, 'dense_nvfp4': 62, 'sparse_bf16': 57, 'sparse_nvfp4': 55}",[],,4,128,assistant_answer_token_nll
policy_060,60,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_060_round_robin_r1.json,round_robin_1,13.5964345998,-0.2126389316,803260.7016623658,716498,9741818.197918,13.8090735314,224,0,"{'dense_nvfp4': 75, 'sparse_bf16': 75, 'sparse_nvfp4': 74}",[],,4,128,assistant_answer_token_nll
policy_037,37,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_037_random.json,random_mixed,13.7469013710,-0.0621721604,933691.5075757130,716498,9849627.338503,13.8090735314,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 51, 'sparse_bf16': 55, 'sparse_nvfp4': 54}",[],,4,128,assistant_answer_token_nll
policy_045,45,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_045_random.json,random_mixed,13.4730397299,-0.3360338015,710013.8315570068,716498,9653406.020390,13.8090735314,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 54, 'sparse_bf16': 54, 'sparse_nvfp4': 52}",[],,4,128,assistant_answer_token_nll
policy_053,53,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_053_random.json,random_mixed,14.0146385520,0.2055650206,1220338.1519440252,716498,10041460.493251,13.8090735314,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 61, 'sparse_bf16': 62, 'sparse_nvfp4': 50}",[],,4,128,assistant_answer_token_nll
policy_029,29,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_029_random.json,random_mixed,13.5871203139,-0.2219532175,795813.6376558599,716498,9735144.530645,13.8090735314,167,0,"{'dense_bf16': 57, 'dense_nvfp4': 50, 'sparse_bf16': 62, 'sparse_nvfp4': 55}",[],,4,128,assistant_answer_token_nll
policy_004,4,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_004_dense_nvfp4_r0.2.json,dense_nvfp4_ratio_0.2,13.9199173344,0.1108438030,1110051.9060641243,716498,9973592.930274,13.8090735314,45,0,"{'dense_bf16': 179, 'dense_nvfp4': 45}",[],,4,128,assistant_answer_token_nll
policy_012,12,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_012_sparse_bf16_r0.2.json,sparse_bf16_ratio_0.2,13.7442679818,-0.0648055496,931235.9690368087,716498,9847740.520392,13.8090735314,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],,4,128,assistant_answer_token_nll
policy_020,20,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_020_sparse_nvfp4_r0.2.json,sparse_nvfp4_ratio_0.2,13.4875790975,-0.3214944339,720412.3947226119,716498,9663823.448179,13.8090735314,45,0,"{'dense_bf16': 179, 'sparse_nvfp4': 45}",[],,4,128,assistant_answer_token_nll
