policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,decode_count_dense_bf16,decode_count_dense_nvfp4,decode_count_sparse_bf16,decode_count_sparse_nvfp4,decode_count_w4a16_ours,raw_speedup_vs_dense
point_000,0.0,0.0,1079.12784,128,0,0,0,0,128,0,0,0,0,1.0
point_001,0.0,0.0,1016.375728,120,8,0,0,0,88,0,0,0,40,1.0617410572402022
point_002,0.005011872336272725,0.003953235982168903,994.9927,118,8,0,2,0,86,0,0,0,42,1.084558550027553
point_003,0.006502618281498465,0.005929853973253354,984.301186,117,8,0,3,0,85,0,0,0,43,1.0963390630314653
point_004,0.008436776054500262,0.007906471964337806,973.609672,116,8,0,4,0,84,0,0,0,44,1.108378307071707
point_005,0.010946235364347193,0.009883089955422256,962.9181580000001,115,8,0,5,0,83,0,0,0,45,1.1206849004087427
point_006,0.014202115580366962,0.013836325937591161,941.53513,113,8,0,7,0,81,0,0,0,47,1.146136565292046
point_007,0.018426434316866247,0.01586640881695925,920.980572,111,9,0,8,0,79,0,0,0,49,1.1717161825211662
point_008,0.023907246755769124,0.01597333859352652,901.254484,109,11,0,8,0,77,0,0,0,51,1.1973619650806642
point_009,0.031018288053596497,0.01618719814666106,861.802308,105,15,0,8,0,73,0,0,0,55,1.252175620768934
point_010,0.04024445824334468,0.016536037932055273,812.487088,100,20,0,8,0,68,0,0,0,60,1.3281784485416956
point_011,0.052214887440008864,0.01693104608805575,753.308824,94,26,0,8,0,62,0,0,0,66,1.4325171903203409
point_012,0.06774583605740715,0.017930614015601528,690.694822,87,32,1,8,0,55,0,0,0,73,1.5623800926655855
point_013,0.08789635539078937,0.028089133147507727,656.337442,77,32,11,8,0,45,0,0,0,83,1.6441662031525548
point_014,0.11404050404569831,0.05325002635084375,608.967507,63,32,24,9,0,31,0,0,0,97,1.7720614443226774
point_015,0.14796104463234366,0.06845801039090892,577.271531,47,32,24,25,0,24,0,0,0,104,1.86935918722796
point_016,0.19197100987839935,0.08584163044390997,551.864669,25,32,39,32,0,17,0,0,0,111,1.9554211396707477
point_017,0.2490714277214331,0.14130719471850667,524.454424,8,20,56,44,0,0,0,0,0,128,2.057619862884406
point_018,0.3231559606134748,0.18032995212273398,507.60278400000004,0,0,64,64,0,0,0,0,0,128,2.1259297112129314
