batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,802.111154422164,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,850.7811985909939,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,660.2733936160803,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,774.5770011097193,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,658.9102409780025,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,661.0321532934904,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,3094.6161672472954,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1565.1952531188726,2048,1,ours_max_speed,64,main,prefill_decode,False
8,1528.5157430917025,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1516.5936797857285,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1547.9456167668104,2048,4,ours_max_speed,64,main,prefill_decode,False
8,1578.799657523632,2048,5,ours_max_speed,64,main,prefill_decode,False
