conversion_ms,decode_ms,decode_predictor,decode_runtime,k,module_name,module_type,n,prefill_ms,prefill_predictor,prefill_runtime,row_type,selected_conversion_ms,selected_decode_ms,selected_decode_predictor,selected_decode_runtime,selected_prefill_ms,selected_prefill_predictor,selected_prefill_runtime,selected_total_ms,total_ms
0,0.08817229970707204,dense_bf16,dense_bf16,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,16.19034192308412,dense_bf16,dense_bf16,candidate,,,,,,,,,23.24412589964988
0.03610966438594391,0.14808467810594358,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,7.279230809969526,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,19.162114722830957
0.6123426335897382,0.03925212748511828,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,7.279230809969526,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,11.031743642368728
0,0.06100314743811222,sparse_bf16,sparse_bf16,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,7.214887617485135,sparse_bf16,sparse_bf16,candidate,,,,,,,,,12.095139412534113
0.6123426335897382,0.14808467810594358,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,16.425022275359552,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,28.884139157424777
0.5762329692037943,0.03925212748511828,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,16.425022275359552,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,20.141425443372807
,,,,4096,model.layers.0.self_attn.qkv_proj,qkv_proj,12288,,,,selected,0.6123426335897382,0.03925212748511828,marlin_nvfp4,w4a16_ours,7.279230809969526,dense_nvfp4,dense_nvfp4,11.031743642368728,
0,0.033363,dense_bf16,dense_bf16,4096,model.layers.0.self_attn.o_proj,o_proj,4096,5.440891276787584,dense_bf16,dense_bf16,candidate,,,,,,,,,8.109931276787584
0.0354415,0.131845,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.o_proj,o_proj,4096,3.248931980415928,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,13.831973480415927
0.485563,0.036086,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.o_proj,o_proj,4096,3.248931980415928,dense_nvfp4,dense_nvfp4,candidate,,,,,,,,,6.621374980415928
0,0.064768,sparse_bf16,sparse_bf16,4096,model.layers.0.self_attn.o_proj,o_proj,4096,2.4142079497247098,sparse_bf16,sparse_bf16,candidate,,,,,,,,,7.59564794972471
0.485563,0.131845,dense_nvfp4,dense_nvfp4,4096,model.layers.0.self_attn.o_proj,o_proj,4096,5.462277240192552,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,16.49544024019255
0.4501215,0.036086,marlin_nvfp4,w4a16_ours,4096,model.layers.0.self_attn.o_proj,o_proj,4096,5.462277240192552,marlin_nvfp4,w4a16_ours,candidate,,,,,,,,,8.799278740192552
