point_index,quality_budget,quality_cost,latency_ms,speedup_vs_dense_linear,dense_latency_ms,speed_optimal_latency_ms,speed_gap_to_optimal_ms,total_prefill_ms,total_decode_ms,total_conversion_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_marlin_nvfp4,count_dense_nvfp4_prefill_marlin_decode,quality_budget_bins
0,0.0,0.0,4482.01656869652,1.0,4482.01656869652,2621.10883072227,1860.9077379742503,1077.7635484021937,3404.2530202943262,0.0,224,0,0,0,0,0,0
1,0.09033932077267559,0.08458404675705412,4421.546274039753,1.013676277688601,4482.01656869652,2621.10883072227,1800.4374433174835,1061.1262521472895,3358.4523431206367,1.96767877182747,220,0,0,0,1,3,11
2,0.18067864154535118,0.16236159027637814,4364.397467228058,1.0269496768687214,4482.01656869652,2621.10883072227,1743.2886365057884,1047.233495751254,3313.2315003856233,3.9324710911811005,217,0,0,0,1,6,21
3,0.36135728309070236,0.32265551345685806,4283.93783435237,1.0462375370519574,4482.01656869652,2621.10883072227,1662.8290036301005,1025.064772744715,3252.317018820704,6.5560427869510605,212,0,0,0,2,10,42
4,0.7227145661814047,0.6731580375909356,4124.525408600993,1.0866744957735115,4482.01656869652,2621.10883072227,1503.4165778787228,980.8563747316367,3131.8658476908654,11.80318617849098,205,0,0,0,1,18,85
5,1.4454291323628095,1.3779080968283477,3885.1556299739277,1.1536260051252047,4482.01656869652,2621.10883072227,1264.0467992516578,914.5222697120197,2950.959458996107,19.67390126580086,194,0,0,0,0,30,169
6,2.890858264725619,2.8256394566951206,3549.9707359423937,1.2625502862086835,4482.01656869652,2621.10883072227,928.8619052201238,825.805030651966,2693.3473972225524,30.818308067875513,175,0,0,0,2,47,339
7,5.781716529451238,5.7713891227648855,3059.444580701129,1.464977204349092,4482.01656869652,2621.10883072227,438.335749978859,709.0892056981485,2302.5127154373386,47.84265956564186,151,0,0,0,0,73,677
8,11.563433058902476,11.550668458457377,2628.14075072227,1.7053944190259847,4482.01656869652,2621.10883072227,7.0319199999999,631.0445437290527,1934.2228527739012,62.873354219316184,78,0,0,0,50,96,1354
9,18.06786415453512,14.224095701496756,2621.10883072227,1.7099696571780503,4482.01656869652,2621.10883072227,0.0,630.4423197290528,1927.793156773901,62.873354219316184,64,0,0,0,64,96,2116
