model,scenario,method_family,policy_or_method,batch_size,input_tokens,output_tokens,prefill_ms,decode_avg_ms,decode_first_ms,decode_steady_ms,decode_x_n_ms,e2e_ms,replaced_linear_count,skipped_linear_count,backend_counts,policy_json
Qwen3.5-9B,prefill_only,single,dense_nvfp4,16,1024,0,1542.140625,0.0,0.0,0.0,0.0,1542.140625,248,0,{'dense_nvfp4': 248},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/dense_nvfp4/prefill_only/qwen35-9b_policy.json
Llama-2-7B,normal_02,single,dense_nvfp4,1,16384,256,1187.3060302734375,65.35460363328457,67.38658905029297,65.34459843973475,16730.77853012085,17918.084560394287,224,0,{'dense_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/dense_nvfp4/normal_02/llama2-7b_policy.json
Qwen3.5-9B,normal_01,single,sparse_nvfp4,1,16384,32,2531.06103515625,91.29944062232971,92.2989730834961,91.26490961710611,2921.582099914551,5452.643135070801,248,0,{'sparse_nvfp4': 248},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/normal_01/qwen35-9b_policy.json
Llama-2-7B,normal_01,single,sparse_nvfp4,1,16384,32,1125.9560546875,73.49207782745361,74.33392333984375,73.47140986124674,2351.7464904785156,3477.7025451660156,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/normal_01/llama2-7b_policy.json
Llama-3.1-8B,normal_01,single,sparse_nvfp4,1,16384,32,1198.322021484375,64.37011778354645,65.86841583251953,64.3217820485433,2059.8437690734863,3258.1657905578613,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/normal_01/llama31-8b_policy.json
Llama-2-7B,prefill_only,single,sparse_nvfp4,16,1024,0,791.8174438476562,0.0,0.0,0.0,0.0,791.8174438476562,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/prefill_only/llama2-7b_policy.json
Llama-3.1-8B,prefill_only,single,sparse_nvfp4,16,1024,0,879.4954833984375,0.0,0.0,0.0,0.0,879.4954833984375,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/prefill_only/llama31-8b_policy.json
Qwen3.5-9B,prefill_only,single,sparse_nvfp4,16,1024,0,1476.3760986328125,0.0,0.0,0.0,0.0,1476.3760986328125,248,0,{'sparse_nvfp4': 248},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/prefill_only/qwen35-9b_policy.json
Llama-2-7B,normal_02,single,sparse_nvfp4,1,16384,256,1124.858642578125,75.41934528946877,76.05206298828125,75.41638378834162,19307.352394104004,20432.21103668213,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/normal_02/llama2-7b_policy.json
Qwen3.5-9B,normal_01,single,marlin_nvfp4,1,16384,32,2914.780517578125,43.18845188617706,44.65843200683594,43.1388350168864,1382.030460357666,4296.810977935791,200,48,{'marlin_nvfp4': 200},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/normal_01/qwen35-9b_policy.json
