model,scenario,linear_group,n,k,count,prefill_backend,decode_backend,prefill_ms,decode_ms,conversion_ms,weighted_total_ms,source_file,candidate,supported,reason,total_ms,online_conversion_ms,used_fallback,prefill_first_ms,prefill_steady_ms,decode_first_ms,decode_steady_ms,fallback_backend,fallback_reason
Llama-2-7B,normal_01,__TOTAL__,,,,,,,,,1649.2558341979977,single/dense_nvfp4/normal_01/llama2-7b_linear_summary.csv,dense_nvfp4,,,,,,,,,,,
Llama-3.1-8B,normal_01,__TOTAL__,,,,,,,,,2091.155561447144,single/dense_nvfp4/normal_01/llama31-8b_linear_summary.csv,dense_nvfp4,,,,,,,,,,,
Llama-2-7B,prefill_only,__TOTAL__,,,,,,,,,600.6563850402832,single/dense_nvfp4/prefill_only/llama2-7b_linear_summary.csv,dense_nvfp4,,,,,,,,,,,
Llama-3.1-8B,prefill_only,__TOTAL__,,,,,,,,,655.533980178833,single/dense_nvfp4/prefill_only/llama31-8b_linear_summary.csv,dense_nvfp4,,,,,,,,,,,
Qwen3.5-9B,prefill_only,__TOTAL__,,,,,,,,,670.2641400337219,single/dense_nvfp4/prefill_only/qwen35-9b_linear_summary.csv,dense_nvfp4,,,,,,,,,,,
Llama-2-7B,normal_02,__TOTAL__,,,,,,,,,12185.273764643074,single/dense_nvfp4/normal_02/llama2-7b_linear_summary.csv,dense_nvfp4,,,,,,,,,,,
Qwen3.5-9B,normal_01,__TOTAL__,,,,,,,,,2560.0653294563294,single/sparse_nvfp4/normal_01/qwen35-9b_linear_summary.csv,sparse_nvfp4,,,,,,,,,,,
Llama-2-7B,normal_01,__TOTAL__,,,,,,,,,2389.9804721832274,single/sparse_nvfp4/normal_01/llama2-7b_linear_summary.csv,sparse_nvfp4,,,,,,,,,,,
Llama-3.1-8B,normal_01,__TOTAL__,,,,,,,,,2350.4036815643312,single/sparse_nvfp4/normal_01/llama31-8b_linear_summary.csv,sparse_nvfp4,,,,,,,,,,,
Llama-2-7B,prefill_only,__TOTAL__,,,,,,,,,547.0535701751709,single/sparse_nvfp4/prefill_only/llama2-7b_linear_summary.csv,sparse_nvfp4,,,,,,,,,,,
Llama-3.1-8B,prefill_only,__TOTAL__,,,,,,,,,593.073152923584,single/sparse_nvfp4/prefill_only/llama31-8b_linear_summary.csv,sparse_nvfp4,,,,,,,,,,,
Qwen3.5-9B,prefill_only,__TOTAL__,,,,,,,,,605.7075455665588,single/sparse_nvfp4/prefill_only/qwen35-9b_linear_summary.csv,sparse_nvfp4,,,,,,,,,,,
Llama-2-7B,normal_02,__TOTAL__,,,,,,,,,10779.286630570889,single/sparse_nvfp4/normal_02/llama2-7b_linear_summary.csv,sparse_nvfp4,,,,,,,,,,,
Qwen3.5-9B,normal_01,__TOTAL__,,,,,,,,,1336.5379565000535,single/marlin_nvfp4/normal_01/qwen35-9b_linear_summary.csv,marlin_nvfp4,,,,,,,,,,,
Llama-2-7B,normal_01,__TOTAL__,,,,,,,,,1252.0543231964111,single/marlin_nvfp4/normal_01/llama2-7b_linear_summary.csv,marlin_nvfp4,,,,,,,,,,,
Llama-3.1-8B,normal_01,__TOTAL__,,,,,,,,,1304.4757612228393,single/marlin_nvfp4/normal_01/llama31-8b_linear_summary.csv,marlin_nvfp4,,,,,,,,,,,
Llama-2-7B,prefill_only,__TOTAL__,,,,,,,,,925.1732467651367,single/marlin_nvfp4/prefill_only/llama2-7b_linear_summary.csv,marlin_nvfp4,,,,,,,,,,,
Llama-3.1-8B,prefill_only,__TOTAL__,,,,,,,,,993.9053537368775,single/marlin_nvfp4/prefill_only/llama31-8b_linear_summary.csv,marlin_nvfp4,,,,,,,,,,,
Qwen3.5-9B,prefill_only,__TOTAL__,,,,,,,,,999.9783907413482,single/marlin_nvfp4/prefill_only/qwen35-9b_linear_summary.csv,marlin_nvfp4,,,,,,,,,,,
Llama-2-7B,normal_02,__TOTAL__,,,,,,,,,3327.043083432317,single/marlin_nvfp4/normal_02/llama2-7b_linear_summary.csv,marlin_nvfp4,,,,,,,,,,,
Qwen3.5-9B,normal_01,__TOTAL__,,,,,,,,,1148.8280872203409,manual/normal_01/qwen35-9b_linear_summary.csv,,,,,,,,,,,,
Llama-2-7B,normal_01,__TOTAL__,,,,,,,,,1103.922992515564,manual/normal_01/llama2-7b_linear_summary.csv,,,,,,,,,,,,
Llama-3.1-8B,normal_01,__TOTAL__,,,,,,,,,1219.0933038711548,manual/normal_01/llama31-8b_linear_summary.csv,,,,,,,,,,,,
Llama-2-7B,prefill_only,__TOTAL__,,,,,,,,,546.3943153381347,manual/prefill_only/llama2-7b_linear_summary.csv,,,,,,,,,,,,
Llama-3.1-8B,prefill_only,__TOTAL__,,,,,,,,,529.8784255981445,manual/prefill_only/llama31-8b_linear_summary.csv,,,,,,,,,,,,
Qwen3.5-9B,prefill_only,__TOTAL__,,,,,,,,,526.0460541009903,manual/prefill_only/qwen35-9b_linear_summary.csv,,,,,,,,,,,,
Llama-2-7B,normal_02,__TOTAL__,,,,,,,,,3351.145674584061,manual/normal_02/llama2-7b_linear_summary.csv,,,,,,,,,,,,
