uniform_method,uniform_quality_cost,uniform_predicted_latency_ms,uniform_e2e_ms,best_pareto_point_same_or_less_quality_pred,best_pareto_predicted_latency_ms,predicted_dominates_uniform,best_pareto_point_same_or_less_quality_e2e,best_pareto_e2e_ms,e2e_dominates_uniform
dense_bf16,0.0,4176.543776162816,9101.401866912842,0,4176.543776162816,True,0,9025.964805603027,True
dense_nvfp4,16.530083108272944,8589.788253707984,17348.85188293457,9,2829.120466551294,True,9,7394.1501057942705,True
marlin_nvfp4,16.530083108272944,3049.529572581275,7717.874303817749,9,2829.120466551294,True,9,7394.1501057942705,True
dense_nvfp4_prefill_marlin_decode,16.530083108272944,2836.423634551294,7762.430978775024,9,2829.120466551294,True,9,7394.1501057942705,True
