method,supported_in_current_pareto,quality_cost,predicted_latency_ms,predicted_speedup_vs_dense,e2e_ms,e2e_speedup_vs_dense,backend_counts,note
dense_bf16,True,0.0,4176.543776162816,1.0,9101.401866912842,1.0,,
dense_nvfp4,True,16.530083108272944,8589.788253707984,0.4862219711131893,17348.85188293457,0.5246111920446769,{'dense_nvfp4': 224},
marlin_nvfp4,True,16.530083108272944,3049.529572581275,1.3695698555326945,7717.874303817749,1.1792627747786346,{'marlin_nvfp4': 224},
dense_nvfp4_prefill_marlin_decode,True,16.530083108272944,2836.423634551294,1.4724682608363335,7762.430978775024,1.1724937576641896,{'dense_nvfp4/marlin_nvfp4': 224},
sparse_bf16,False,nan,nan,nan,10334.709167480469,0.8806635696678924,{'sparse_bf16': 224},all rows unsupported
sparse_nvfp4,False,nan,nan,nan,21729.426292419434,0.41885145720980094,{'sparse_nvfp4': 224},all rows unsupported
