name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.4.self_attn.k_proj,model.language_model.layers.4.self_attn.k_proj,30,4,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.4.self_attn.v_proj,model.language_model.layers.4.self_attn.v_proj,31,4,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.4.self_attn.o_proj,model.language_model.layers.4.self_attn.o_proj,32,4,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.4.mlp.gate_proj,model.language_model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.00010131274009333341,3.0619853161530486
model.language_model.layers.4.mlp.up_proj,model.language_model.layers.4.mlp.up_proj,34,4,up_proj,mlp,11008,4096,sparse_bf16,sparse_bf16,0.00034506932327733794,3.3904291110950173
model.language_model.layers.4.mlp.down_proj,model.language_model.layers.4.mlp.down_proj,35,4,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,2.5687079324496102e-05,3.4039856523906575
model.language_model.layers.5.self_attn.q_proj,model.language_model.layers.5.self_attn.q_proj,36,5,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00014253537279001511,1.257995
model.language_model.layers.5.self_attn.k_proj,model.language_model.layers.5.self_attn.k_proj,37,5,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00011699475932941559,1.257995
model.language_model.layers.5.self_attn.v_proj,model.language_model.layers.5.self_attn.v_proj,38,5,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00038688063306821453,1.257995
model.language_model.layers.5.self_attn.o_proj,model.language_model.layers.5.self_attn.o_proj,39,5,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0002970827956895178,1.257995
model.language_model.layers.5.mlp.gate_proj,model.language_model.layers.5.mlp.gate_proj,40,5,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.001104891157925011,2.5708457841501398
model.language_model.layers.5.mlp.up_proj,model.language_model.layers.5.mlp.up_proj,41,5,up_proj,mlp,11008,4096,dense_nvfp4,dense_nvfp4,0.00012740119953804139,3.0619853161530486
model.language_model.layers.5.mlp.down_proj,model.language_model.layers.5.mlp.down_proj,42,5,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00031205409441037,3.4039856523906575
model.language_model.layers.6.self_attn.q_proj,model.language_model.layers.6.self_attn.q_proj,43,6,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00017556845492666957,1.257995
model.language_model.layers.6.self_attn.k_proj,model.language_model.layers.6.self_attn.k_proj,44,6,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00015152525558555883,1.257995
model.language_model.layers.6.self_attn.v_proj,model.language_model.layers.6.self_attn.v_proj,45,6,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.6.self_attn.o_proj,model.language_model.layers.6.self_attn.o_proj,46,6,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0002695908618479703,1.257995
model.language_model.layers.6.mlp.gate_proj,model.language_model.layers.6.mlp.gate_proj,47,6,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0014078635230781109,2.5708457841501398
model.language_model.layers.6.mlp.up_proj,model.language_model.layers.6.mlp.up_proj,48,6,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.003054355224165171,2.5708457841501398
model.language_model.layers.6.mlp.down_proj,model.language_model.layers.6.mlp.down_proj,49,6,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00032809591281607737,3.4039856523906575
model.language_model.layers.7.self_attn.q_proj,model.language_model.layers.7.self_attn.q_proj,50,7,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0001878951395909061,1.257995
model.language_model.layers.7.self_attn.k_proj,model.language_model.layers.7.self_attn.k_proj,51,7,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0001541052209670267,1.257995
model.language_model.layers.7.self_attn.v_proj,model.language_model.layers.7.self_attn.v_proj,52,7,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00034606405336569943,1.257995
model.language_model.layers.7.self_attn.o_proj,model.language_model.layers.7.self_attn.o_proj,53,7,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0003400003723119191,1.257995
model.language_model.layers.7.mlp.gate_proj,model.language_model.layers.7.mlp.gate_proj,54,7,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.001890312665334942,2.5708457841501398
