model,scenario,linear_group,n,k,count,prefill_backend,decode_backend,prefill_ms,decode_ms,conversion_ms,weighted_total_ms
Llama-3.1-8B,normal_01,mlp.down_proj,4096,14336,32,dense_nvfp4,marlin_nvfp4,6.33261076343214,0.03920826583956087,0.6530064714686507,263.6890157365356
Llama-3.1-8B,normal_01,mlp.gate_proj,14336,4096,32,dense_nvfp4,marlin_nvfp4,3.520869864050379,0.038116023621595364,0.65589292394249,172.68721740428546
Llama-3.1-8B,normal_01,mlp.up_proj,14336,4096,32,dense_nvfp4,marlin_nvfp4,3.520869864050379,0.038116023621595364,0.65589292394249,172.68721740428546
Llama-3.1-8B,normal_01,self_attn.k_proj,1024,4096,32,dense_bf16,dense_bf16,0.765144,0.024447,0.0,49.518336000000005
Llama-3.1-8B,normal_01,self_attn.o_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,2.398342,0.035496,0.0,113.094848
Llama-3.1-8B,normal_01,self_attn.q_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,2.398342,0.035496,0.0,113.094848
Llama-3.1-8B,normal_01,self_attn.v_proj,1024,4096,32,dense_bf16,dense_bf16,0.765144,0.024447,0.0,49.518336000000005
Llama-3.1-8B,normal_01,__TOTAL__,,,,,,,,,934.2898185451064
