conversion,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples
canonical_to_cutlass,4096,4096,0.023785,0.023785,0.0,0.023785,0.023785,1
canonical_to_cutlass,4096,14336,0.025102,0.025102,0.0,0.025102,0.025102,1
canonical_to_cutlass,6144,4096,0.024903,0.024903,0.0,0.024903,0.024903,1
canonical_to_cutlass,28672,4096,0.030086,0.030086,0.0,0.030086,0.030086,1
canonical_to_marlin,4096,4096,0.376086,0.376086,0.0,0.376086,0.376086,1
canonical_to_marlin,4096,14336,0.499262,0.499262,0.0,0.499262,0.499262,1
canonical_to_marlin,6144,4096,0.390858,0.390858,0.0,0.390858,0.390858,1
canonical_to_marlin,28672,4096,0.864166,0.864166,0.0,0.864166,0.864166,1
