method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,129.4918384552002,911.4988298416138,29.565139293670654,29.403188059406897,34.00991749532657,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,121.64802894592285,3493.843977355957,27.775067234039305,27.510582498865805,36.3496483595441,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,143.1954216003418,827.0661705017089,26.766455936431885,26.679553887151904,37.48188610011095,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,146.17202224731446,3448.2863227844236,27.12465581893921,27.151860809326173,36.82988827257534,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,179.33523864746093,830.7087681770324,26.90814733505249,26.797057037968788,37.31753074910796,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,179.1656021118164,3396.639007472992,26.877196788787842,26.74518903522041,37.389902112230814,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,249.4286865234375,828.1245649337768,26.82059841156006,26.71369564302506,37.433981930579485,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,249.46880874633788,3390.948156929016,26.873998355865478,26.70037918841745,37.45265162503,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,913.7196899414063,832.7991600036621,27.13582887649536,26.8644890323762,37.22386079239523,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,8192,128,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,913.5752685546875,3411.843765735626,27.01493110656738,26.864911541225403,37.22327536666017,
