key,policy_index,batch_size_for_policy,point_index,policy_json,label,benchmark,dataset,ce_nll,num_samples,real_samples,fake_samples,acc,real_acc,fake_acc,bal_acc,auc,ap,runtime_dtype,effective_dense_runtime,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples
policy_027,27,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,GenImage,wukong,0.0546294504,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_012,12,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_012_lowerr_count_112.json,lowerr_count_112,GenImage,glide,0.0524091733,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],192,16,64
policy_017,17,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_017_lowerr_count_157.json,lowerr_count_157,GenImage,stable_diffusion_v_1_4,0.0512688716,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
policy_027,27,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,GenImage,VQDM,0.0535904694,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_012,12,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_012_lowerr_count_112.json,lowerr_count_112,GenImage,wukong,0.0531870282,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],192,16,64
policy_027,27,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,GenImage,BigGAN,0.0965201625,192,96,96,0.97395833,1.00000000,0.94791667,0.97395833,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_017,17,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_017_lowerr_count_157.json,lowerr_count_157,GenImage,stable_diffusion_v_1_5,0.0576193035,192,96,96,0.99479167,1.00000000,0.98958333,0.99479167,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
policy_012,12,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_012_lowerr_count_112.json,lowerr_count_112,GenImage,VQDM,0.0520029214,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],192,16,64
policy_017,17,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_017_lowerr_count_157.json,lowerr_count_157,GenImage,ADM,0.0613823859,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
policy_012,12,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_012_lowerr_count_112.json,lowerr_count_112,GenImage,BigGAN,0.0566740427,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],192,16,64
