key,policy_index,batch_size_for_policy,point_index,policy_json,label,benchmark,dataset,ce_nll,num_samples,real_samples,fake_samples,acc,real_acc,fake_acc,bal_acc,auc,ap,runtime_dtype,effective_dense_runtime,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples
policy_007,7,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_007_lowerr_count_78.json,lowerr_count_78,GenImage,glide,0.0527370637,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,78,0,"{'dense_bf16': 146, 'sparse_bf16': 78}",[],192,16,64
policy_007,7,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_007_lowerr_count_78.json,lowerr_count_78,GenImage,wukong,0.0533732921,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,78,0,"{'dense_bf16': 146, 'sparse_bf16': 78}",[],192,16,64
policy_007,7,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_007_lowerr_count_78.json,lowerr_count_78,GenImage,VQDM,0.0526035068,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,78,0,"{'dense_bf16': 146, 'sparse_bf16': 78}",[],192,16,64
policy_007,7,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_007_lowerr_count_78.json,lowerr_count_78,GenImage,BigGAN,0.0657093422,192,96,96,0.99479167,1.00000000,0.98958333,0.99479167,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,78,0,"{'dense_bf16': 146, 'sparse_bf16': 78}",[],192,16,64
policy_022,22,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_022_lowerr_count_190.json,lowerr_count_190,GenImage,Midjourney,0.1796400274,192,96,96,0.94270833,1.00000000,0.88541667,0.94270833,0.99565972,0.99607385,bfloat16,bf16_for_unreplaced_layers,190,0,"{'dense_bf16': 34, 'sparse_bf16': 190}",[],192,16,64
policy_032,32,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,GenImage,Midjourney,0.0981289040,192,96,96,0.97395833,0.95833333,0.98958333,0.97395833,0.99945747,0.99947483,bfloat16,bf16_for_unreplaced_layers,96,0,"{'dense_bf16': 128, 'sparse_bf16': 96}",[],192,16,64
policy_037,37,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_037_type_gate_proj.json,type_gate_proj,GenImage,Midjourney,0.0513444506,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,32,0,"{'dense_bf16': 192, 'sparse_bf16': 32}",[],192,16,64
policy_002,2,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_002_lowerr_count_45.json,lowerr_count_45,GenImage,Midjourney,0.0520750654,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],192,16,64
policy_022,22,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_022_lowerr_count_190.json,lowerr_count_190,GenImage,stable_diffusion_v_1_4,0.0552819275,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,190,0,"{'dense_bf16': 34, 'sparse_bf16': 190}",[],192,16,64
policy_032,32,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,GenImage,stable_diffusion_v_1_4,0.1433528261,192,96,96,0.96354167,0.92708333,1.00000000,0.96354167,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,96,0,"{'dense_bf16': 128, 'sparse_bf16': 96}",[],192,16,64
policy_037,37,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_037_type_gate_proj.json,type_gate_proj,GenImage,stable_diffusion_v_1_4,0.0520224432,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,32,0,"{'dense_bf16': 192, 'sparse_bf16': 32}",[],192,16,64
policy_002,2,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_002_lowerr_count_45.json,lowerr_count_45,GenImage,stable_diffusion_v_1_4,0.0523498897,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],192,16,64
policy_022,22,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_022_lowerr_count_190.json,lowerr_count_190,GenImage,stable_diffusion_v_1_5,0.0632938426,192,96,96,0.99479167,1.00000000,0.98958333,0.99479167,0.99989149,0.99989261,bfloat16,bf16_for_unreplaced_layers,190,0,"{'dense_bf16': 34, 'sparse_bf16': 190}",[],192,16,64
policy_032,32,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,GenImage,stable_diffusion_v_1_5,0.1527699710,192,96,96,0.95312500,0.90625000,1.00000000,0.95312500,0.99989149,0.99989261,bfloat16,bf16_for_unreplaced_layers,96,0,"{'dense_bf16': 128, 'sparse_bf16': 96}",[],192,16,64
policy_037,37,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_037_type_gate_proj.json,type_gate_proj,GenImage,stable_diffusion_v_1_5,0.0531938064,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,32,0,"{'dense_bf16': 192, 'sparse_bf16': 32}",[],192,16,64
policy_027,27,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,GenImage,Midjourney,0.0562753119,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_002,2,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_002_lowerr_count_45.json,lowerr_count_45,GenImage,stable_diffusion_v_1_5,0.0533216602,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],192,16,64
policy_022,22,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_022_lowerr_count_190.json,lowerr_count_190,GenImage,ADM,0.0820056899,192,96,96,0.97916667,0.98958333,0.96875000,0.97916667,0.99956597,0.99956364,bfloat16,bf16_for_unreplaced_layers,190,0,"{'dense_bf16': 34, 'sparse_bf16': 190}",[],192,16,64
policy_032,32,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,GenImage,ADM,0.1758680362,192,96,96,0.95833333,0.91666667,1.00000000,0.95833333,0.99967448,0.99968434,bfloat16,bf16_for_unreplaced_layers,96,0,"{'dense_bf16': 128, 'sparse_bf16': 96}",[],192,16,64
policy_037,37,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_037_type_gate_proj.json,type_gate_proj,GenImage,ADM,0.0537589894,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,32,0,"{'dense_bf16': 192, 'sparse_bf16': 32}",[],192,16,64
policy_022,22,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_022_lowerr_count_190.json,lowerr_count_190,GenImage,glide,0.0655189920,192,96,96,0.99479167,0.98958333,1.00000000,0.99479167,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,190,0,"{'dense_bf16': 34, 'sparse_bf16': 190}",[],192,16,64
policy_027,27,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,GenImage,stable_diffusion_v_1_4,0.0535952554,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
