module_index,module_name,layer,layer_bucket,module_type,module_family,in_features,out_features,numel,weight_mean,weight_std,weight_abs_mean,weight_abs_max,weight_outlier_ratio_6x,weight_row_norm_mean,weight_row_norm_max,weight_col_norm_mean,weight_col_norm_max,activation_mean,activation_std,activation_abs_mean,activation_abs_max,activation_outlier_ratio_6x_weight_mean
1,model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,-3.0185713058017427e-06,0.013479271903634071,0.007290542125701904,0.7734375,0.01427382230758667,0.7678268551826477,3.3519811630249023,0.6854398846626282,7.156308174133301,-4.602646959028789e-05,0.06528585445942463,0.012940621469169855,4.96875,0.025524616241455078
2,model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,8.61367425386561e-06,0.015102141536772251,0.0092847291380167,0.81640625,0.00949704647064209,0.8915396332740784,3.235579490661621,0.8180683255195618,5.607005596160889,-4.602646959028789e-05,0.06528585445942463,0.012940621469169855,4.96875,0.020587921142578125
