timestamp,model,method,benchmark,dataset,num_samples,real_samples,fake_samples,acc,real_acc,fake_acc,bal_acc,auc,ap,elapsed_sec,images_per_sec,batch_size,num_workers,device,use_amp,model_path,memory_path,backbone_path,checkpoint_path,compression_method,sparsity,nvfp4_group_size,nvfp4_scale_rule,int4_group_size,int4_scale_precision,sparsegpt_block_size,sparsegpt_percdamp,hessian_algo,calib_samples
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,Chameleon,ALL,26033,14863,11170,0.940998,0.971742,0.900090,0.935916,0.982295,0.979761,295.837,87.998,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,Midjourney,11999,6000,5999,0.985249,0.999833,0.970662,0.985248,0.999792,0.999834,171.604,69.923,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,stable_diffusion_v_1_4,12000,6000,6000,0.999583,1.000000,0.999167,0.999583,1.000000,1.000000,136.086,88.180,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,stable_diffusion_v_1_5,16000,8000,8000,0.999250,0.999875,0.998625,0.999250,0.999999,0.999999,181.197,88.302,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,ADM,12000,6000,6000,0.994583,0.999667,0.989500,0.994583,0.999948,0.999951,135.801,88.365,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,glide,12000,6000,6000,0.999833,0.999833,0.999833,0.999833,1.000000,1.000000,135.845,88.336,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,wukong,12000,6000,6000,0.999750,0.999833,0.999667,0.999750,1.000000,1.000000,136.639,87.823,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,VQDM,12000,6000,6000,0.999750,1.000000,0.999500,0.999750,1.000000,1.000000,136.332,88.020,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,BigGAN,12000,6000,6000,0.987250,0.999333,0.975167,0.987250,0.999853,0.999869,135.564,88.519,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:45:56,MIRROR-DINOv3-Huge,nvfp4,GenImage,MEAN,99999,50000,49999,0.995656,0.999797,0.991515,0.995656,0.999949,0.999957,1169.068,,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:57:32,MIRROR-DINOv3-Huge,semi_structured_sparse,Chameleon,ALL,26033,14863,11170,0.780625,0.818341,0.730439,0.774390,0.861426,0.816322,318.342,81.777,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:57:32,MIRROR-DINOv3-Huge,semi_structured_sparse,GenImage,Midjourney,11999,6000,5999,0.909576,0.946500,0.872645,0.909573,0.975300,0.973519,158.465,75.720,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
2026-05-27T07:57:32,MIRROR-DINOv3-Huge,semi_structured_sparse,GenImage,stable_diffusion_v_1_4,12000,6000,6000,0.972417,0.946167,0.998667,0.972417,0.998838,0.998732,133.377,89.971,16,8,NVIDIA GeForce RTX 5090,False,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,artifacts/checkpoints/mirror/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64
