timestamp,model,method,task,speed_scope,runtime_dtype,device,batch_size,input_c,input_h,input_w,warmup,iters,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,images_per_sec,model_path,memory_path,backbone_path,torch_version,cuda_version,checkpoint_path,compression_method,sparsity,nvfp4_group_size,nvfp4_scale_rule,int4_group_size,int4_scale_precision,sparsegpt_block_size,sparsegpt_percdamp,hessian_algo,calib_samples,kernel_backend,replaced_linear_count,skipped_linear_count,sparse_backend,sparse_pattern,sparse_prune_on_convert,token_pad_multiple,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout
2026-05-27T08:23:21,MIRROR-DINOv3-Huge,dense,forward_speed,random_input_detector_forward_only,float32,NVIDIA GeForce RTX 5090,1,3,224,224,10,50,26.752369,26.751808,26.769359,26.721216,26.782305,37.380,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,2.9.0+cu128,12.8,,dense,,,,,,,,,,torch_dense,,,,,,,,,,
2026-05-27T08:25:37,MIRROR-DINOv3-Huge,semi_structured_sparse,forward_speed,random_input_detector_forward_only,bfloat16,NVIDIA GeForce RTX 5090,1,3,224,224,10,50,31.702875,31.618032,31.814924,31.417696,33.782337,31.543,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,2.9.0+cu128,12.8,artifacts/checkpoints/mirror/semi_structured_sparse/model.pt,semi_structured_sparse,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64,cutlass_sparse_bf16_cusparselt,224,0,cusparselt_bf16,2to4,False,8,,,,
2026-05-27T08:27:31,MIRROR-DINOv3-Huge,nvfp4,forward_speed,random_input_detector_forward_only,bfloat16,NVIDIA GeForce RTX 5090,1,3,224,224,10,50,49.293008,49.133615,49.421186,48.813023,52.071072,20.287,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,2.9.0+cu128,12.8,artifacts/checkpoints/mirror/nvfp4/model.pt,nvfp4,0.5,16,static_6,32,fp16,128,0.01,sparsegpt_diag,64,cutlass_nvfp4_sm120,224,0,,,,,16,cutlass_sm120,cutlass_sm120,cutlass_sm120
2026-05-27T08:27:32,MIRROR-DINOv3-Huge,nvfp4_semi_structured_sparse,forward_speed,random_input_detector_forward_only,bfloat16,NVIDIA GeForce RTX 5090,1,3,224,224,10,50,57.145975,56.904385,57.333630,56.617569,59.871010,17.499,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,2.9.0+cu128,12.8,artifacts/checkpoints/mirror/nvfp4_semi_structured_sparse/model.pt,nvfp4_semi_structured_sparse,0.5,32,static_6,32,fp16,128,0.01,sparsegpt_diag,64,cutlass_sparse_nvfp4_sm120,224,0,,pairwise_4to8,False,32,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120
